"ID","ID2","Season","SocInfo","Trial","Length","Width","Thick","Shape","Color","Fitness","erroredFitnness","LT1","LT2","LT3","LT4","Click1","Click2","Click3","Click4"
"1",1,"B6",1,0,1,52,22,75,2,3,274,267,0,0,0,0,0,0,0,0
"2",1,"B6",1,0,2,100,100,100,2,3,118,123,0,0,0,0,0,0,0,0
"3",1,"B6",1,0,3,100,50,70,2,3,334,336,0,0,0,0,0,0,0,0
"4",1,"B6",1,0,4,95,35,50,2,3,407,408,0,0,0,0,0,0,0,0
"5",1,"B6",1,0,5,75,25,25,2,3,441,440,0,0,0,0,0,0,0,0
"6",1,"B6",1,0,6,65,15,15,1,2,307,304,0,0,0,0,0,0,0,0
"7",1,"B6",1,0,7,65,15,15,2,4,348,352,0,0,0,0,0,0,0,0
"8",1,"B6",1,0,8,65,20,20,4,3,442,451,0,0,0,0,0,0,0,0
"9",1,"B6",1,0,9,65,20,20,2,3,412,415,0,0,0,0,0,0,0,0
"10",1,"B6",1,0,10,45,10,10,4,3,470,477,0,0,0,0,0,0,0,0
"11",1,"B6",1,0,11,30,3,3,4,3,477,483,0,0,0,0,0,0,0,0
"12",1,"B6",1,0,12,45,1,1,4,3,386,392,0,0,0,0,0,0,0,0
"13",1,"B6",1,0,13,15,1,1,4,3,386,375,0,0,0,0,0,0,0,0
"14",1,"B6",1,0,14,20,1,1,4,3,425,426,0,0,0,0,0,0,0,0
"15",1,"B6",1,0,15,25,1,1,4,3,452,445,0,0,0,0,0,0,0,0
"16",1,"B6",1,0,16,30,1,1,4,3,462,467,0,0,0,0,0,0,0,0
"17",1,"B6",1,0,17,35,1,1,4,3,452,448,0,0,0,0,0,0,0,0
"18",1,"B6",1,0,18,35,5,5,4,3,485,485,0,0,0,0,0,0,0,0
"19",1,"B6",1,0,19,35,10,10,4,3,536,538,0,0,0,0,0,0,0,0
"20",1,"B6",1,0,20,40,15,15,4,3,569,575,0,0,0,0,0,0,0,0
"21",1,"B6",1,0,21,45,20,20,4,3,594,594,0,0,0,0,0,0,0,0
"22",1,"B6",1,0,22,50,25,25,4,3,611,618,0,0,0,0,0,0,0,0
"23",1,"B6",1,0,23,55,30,30,4,3,619,616,0,0,0,0,0,0,0,0
"24",1,"B6",1,0,24,55,25,25,4,3,568,564,0,0,0,0,0,0,0,0
"25",1,"B6",1,0,25,50,23,23,4,3,587,585,0,0,0,0,0,0,0,0
"26",1,"B6",1,0,26,52,23,23,4,3,570,560,0,0,0,0,0,0,0,0
"27",1,"B6",1,0,27,55,20,20,4,3,507,500,0,0,0,0,0,0,0,0
"28",1,"B6",1,0,28,55,25,25,4,3,568,568,0,0,0,0,0,0,0,0
"29",1,"B6",1,0,29,60,25,25,4,3,532,521,0,0,0,0,0,0,0,0
"30",1,"B6",1,0,30,53,25,25,4,3,585,589,0,0,0,0,0,0,0,0
"31",1,"B6",2,0,1,58,73,82,3,1,363,359,0,0,0,0,0,0,0,0
"32",1,"B6",2,0,2,100,73,82,3,1,226,230,0,0,0,0,0,0,0,0
"33",1,"B6",2,0,3,25,35,40,3,1,608,610,0,0,0,0,0,0,0,0
"34",1,"B6",2,0,4,25,30,30,3,1,532,535,0,0,0,0,0,0,0,0
"35",1,"B6",2,0,5,25,35,35,3,1,552,554,0,0,0,0,0,0,0,0
"36",1,"B6",2,0,6,40,35,35,3,1,589,580,0,0,0,0,0,0,0,0
"37",1,"B6",2,0,7,40,35,35,4,1,548,546,0,0,0,0,0,0,0,0
"38",1,"B6",2,0,8,40,35,35,3,2,589,587,0,0,0,0,0,0,0,0
"39",1,"B6",2,0,9,40,35,35,3,3,589,589,0,0,0,0,0,0,0,0
"40",1,"B6",2,0,10,40,35,35,3,4,589,589,0,0,0,0,0,0,0,0
"41",1,"B6",2,0,11,40,35,35,1,2,632,637,0,0,0,0,0,0,0,0
"42",1,"B6",2,0,12,42,33,33,1,2,615,614,0,0,0,0,0,0,0,0
"43",1,"B6",2,0,13,35,35,35,1,2,638,631,0,0,0,0,0,0,0,0
"44",1,"B6",2,0,14,30,35,35,1,2,624,626,0,0,0,0,0,0,0,0
"45",1,"B6",2,0,15,33,35,35,1,2,635,633,0,0,0,0,0,0,0,0
"46",1,"B6",2,0,16,33,40,40,1,2,667,668,0,0,0,0,0,0,0,0
"47",1,"B6",2,0,17,38,50,50,1,2,736,737,0,0,0,0,0,0,0,0
"48",1,"B6",2,0,18,43,55,55,1,2,735,731,0,0,0,0,0,0,0,0
"49",1,"B6",2,0,19,40,52,52,1,2,740,734,0,0,0,0,0,0,0,0
"50",1,"B6",2,0,20,37,52,52,1,2,746,749,0,0,0,0,0,0,0,0
"51",1,"B6",2,0,21,37,55,55,1,2,753,751,0,0,0,0,0,0,0,0
"52",1,"B6",2,0,22,37,60,60,1,2,747,751,0,0,0,0,0,0,0,0
"53",1,"B6",2,0,23,35,60,60,1,2,747,745,0,0,0,0,0,0,0,0
"54",1,"B6",2,0,24,40,60,60,1,2,742,742,0,0,0,0,0,0,0,0
"55",1,"B6",2,0,25,37,62,62,1,2,739,736,0,0,0,0,0,0,0,0
"56",1,"B6",2,0,26,37,59,59,1,2,750,746,0,0,0,0,0,0,0,0
"57",1,"B6",2,0,27,37,58,58,1,2,752,748,0,0,0,0,0,0,0,0
"58",1,"B6",2,0,28,38,58,58,1,2,751,750,0,0,0,0,0,0,0,0
"59",1,"B6",2,0,29,38,58,58,1,2,751,751,0,0,0,0,0,0,0,0
"60",1,"B6",2,0,30,38,58,58,1,2,751,753,0,0,0,0,0,0,0,0
"61",1,"B6",3,0,1,61,79,38,2,1,238,239,0,0,0,0,0,0,0,0
"62",1,"B6",3,0,2,80,100,60,2,1,261,262,0,0,0,0,0,0,0,0
"63",1,"B6",3,0,3,45,65,25,2,1,355,362,0,0,0,0,0,0,0,0
"64",1,"B6",3,0,4,50,55,20,2,1,346,347,0,0,0,0,0,0,0,0
"65",1,"B6",3,0,5,40,70,30,2,1,367,362,0,0,0,0,0,0,0,0
"66",1,"B6",3,0,6,40,70,30,1,3,409,406,0,0,0,0,0,0,0,0
"67",1,"B6",3,0,7,40,70,30,4,3,325,331,0,0,0,0,0,0,0,0
"68",1,"B6",3,0,8,50,50,50,1,3,476,477,0,0,0,0,0,0,0,0
"69",1,"B6",3,0,9,65,50,50,1,3,349,339,0,0,0,0,0,0,0,0
"70",1,"B6",3,0,10,50,45,40,1,3,459,455,0,0,0,0,0,0,0,0
"71",1,"B6",3,0,11,50,40,40,1,3,495,488,0,0,0,0,0,0,0,0
"72",1,"B6",3,0,12,50,35,40,1,3,535,532,0,0,0,0,0,0,0,0
"73",1,"B6",3,0,13,50,20,40,1,3,625,630,0,0,0,0,0,0,0,0
"74",1,"B6",3,0,14,50,10,40,1,3,611,610,0,0,0,0,0,0,0,0
"75",1,"B6",3,0,15,50,15,35,1,3,616,618,0,0,0,0,0,0,0,0
"76",1,"B6",3,0,16,50,15,45,1,3,644,642,0,0,0,0,0,0,0,0
"77",1,"B6",3,0,17,45,15,50,1,3,701,701,0,0,0,0,0,0,0,0
"78",1,"B6",3,0,18,40,15,55,1,3,753,752,0,0,0,0,0,0,0,0
"79",1,"B6",3,0,19,35,15,60,1,3,796,794,0,0,0,0,0,0,0,0
"80",1,"B6",3,0,20,30,15,65,1,3,827,820,0,0,0,0,0,0,0,0
"81",1,"B6",3,0,21,25,15,70,1,3,845,847,0,0,0,0,0,0,0,0
"82",1,"B6",3,0,22,20,15,75,1,3,849,848,0,0,0,0,0,0,0,0
"83",1,"B6",3,0,23,23,18,72,1,3,850,854,0,0,0,0,0,0,0,0
"84",1,"B6",3,0,24,23,20,72,1,3,847,854,0,0,0,0,0,0,0,0
"85",1,"B6",3,0,25,23,20,75,1,3,874,865,0,0,0,0,0,0,0,0
"86",1,"B6",3,0,26,24,19,76,1,3,892,899,0,0,0,0,0,0,0,0
"87",1,"B6",3,0,27,25,18,77,1,3,908,910,0,0,0,0,0,0,0,0
"88",1,"B6",3,0,28,28,16,78,1,3,938,936,0,0,0,0,0,0,0,0
"89",1,"B6",3,0,29,30,15,79,1,3,956,954,0,0,0,0,0,0,0,0
"90",1,"B6",3,0,30,32,14,81,1,3,973,974,0,0,0,0,0,0,0,0
"91",2,"B1",1,0,1,52,22,75,2,3,274,272,0,0,0,0,0,0,0,0
"92",2,"B1",1,0,2,52,22,75,2,3,274,259,0,0,0,0,0,0,0,0
"93",2,"B1",1,0,3,52,22,75,1,2,233,234,0,0,0,0,0,0,0,0
"94",2,"B1",1,0,4,52,22,75,1,3,233,238,0,0,0,0,0,0,0,0
"95",2,"B1",1,0,5,65,22,75,1,3,143,148,0,0,0,0,0,0,0,0
"96",2,"B1",1,0,6,40,22,75,1,3,333,333,0,0,0,0,0,0,0,0
"97",2,"B1",1,0,7,32,22,75,1,3,369,368,0,0,0,0,0,0,0,0
"98",2,"B1",1,0,8,32,32,75,1,3,409,405,0,0,0,0,0,0,0,0
"99",2,"B1",1,0,9,32,32,85,1,3,386,380,0,0,0,0,0,0,0,0
"100",2,"B1",1,0,10,32,32,80,1,3,395,392,0,0,0,0,0,0,0,0
"101",2,"B1",1,0,11,30,32,80,1,3,396,394,0,0,0,0,0,0,0,0
"102",2,"B1",1,0,12,20,32,80,1,3,360,361,0,0,0,0,0,0,0,0
"103",2,"B1",1,0,13,25,32,80,1,3,386,375,0,0,0,0,0,0,0,0
"104",2,"B1",1,0,14,25,40,80,1,3,441,438,0,0,0,0,0,0,0,0
"105",2,"B1",1,0,15,25,45,80,1,3,481,482,0,0,0,0,0,0,0,0
"106",2,"B1",1,0,16,25,50,80,1,3,520,527,0,0,0,0,0,0,0,0
"107",2,"B1",1,0,17,25,55,80,1,3,551,538,0,0,0,0,0,0,0,0
"108",2,"B1",1,0,18,25,70,80,1,3,556,555,0,0,0,0,0,0,0,0
"109",2,"B1",1,0,19,25,85,80,1,3,448,449,0,0,0,0,0,0,0,0
"110",2,"B1",1,0,20,25,75,80,1,3,527,527,0,0,0,0,0,0,0,0
"111",2,"B1",1,0,21,25,75,80,1,3,527,523,0,0,0,0,0,0,0,0
"112",2,"B1",1,0,22,25,75,80,1,4,527,523,0,0,0,0,0,0,0,0
"113",2,"B1",1,0,23,25,75,80,1,2,527,526,0,0,0,0,0,0,0,0
"114",2,"B1",1,0,24,25,75,80,1,1,527,525,0,0,0,0,0,0,0,0
"115",2,"B1",1,0,25,25,75,80,1,1,527,523,0,0,0,0,0,0,0,0
"116",2,"B1",1,0,26,25,75,80,1,2,527,530,0,0,0,0,0,0,0,0
"117",2,"B1",1,0,27,25,75,80,1,3,527,523,0,0,0,0,0,0,0,0
"118",2,"B1",1,0,28,25,75,80,1,4,527,525,0,0,0,0,0,0,0,0
"119",2,"B1",1,0,29,25,75,80,4,4,598,598,0,0,0,0,0,0,0,0
"120",2,"B1",1,0,30,25,75,80,4,3,598,603,0,0,0,0,0,0,0,0
"121",2,"B1",2,0,1,58,73,82,3,1,363,359,0,0,0,0,0,0,0,0
"122",2,"B1",2,0,2,58,73,82,3,3,363,360,0,0,0,0,0,0,0,0
"123",2,"B1",2,0,3,58,73,82,1,3,406,401,0,0,0,0,0,0,0,0
"124",2,"B1",2,0,4,58,45,82,1,3,428,424,0,0,0,0,0,0,0,0
"125",2,"B1",2,0,5,58,35,82,1,3,469,472,0,0,0,0,0,0,0,0
"126",2,"B1",2,0,6,58,35,45,1,3,611,614,0,0,0,0,0,0,0,0
"127",2,"B1",2,0,7,100,20,40,1,3,530,529,0,0,0,0,0,0,0,0
"128",2,"B1",2,0,8,55,45,50,1,3,638,629,0,0,0,0,0,0,0,0
"129",2,"B1",2,0,9,65,45,50,1,3,556,565,0,0,0,0,0,0,0,0
"130",2,"B1",2,0,10,55,35,50,1,3,678,671,0,0,0,0,0,0,0,0
"131",2,"B1",2,0,11,55,35,50,2,3,666,661,0,0,0,0,0,0,0,0
"132",2,"B1",2,0,12,55,35,50,3,3,636,639,0,0,0,0,0,0,0,0
"133",2,"B1",2,0,13,55,35,50,4,3,595,592,0,0,0,0,0,0,0,0
"134",2,"B1",2,0,14,55,35,50,2,2,666,662,0,0,0,0,0,0,0,0
"135",2,"B1",2,0,15,55,35,50,2,1,666,667,0,0,0,0,0,0,0,0
"136",2,"B1",2,0,16,55,35,50,2,4,666,665,0,0,0,0,0,0,0,0
"137",2,"B1",2,0,17,60,35,50,2,4,622,627,0,0,0,0,0,0,0,0
"138",2,"B1",2,0,18,60,30,50,2,4,654,653,0,0,0,0,0,0,0,0
"139",2,"B1",2,0,19,60,30,50,2,3,654,654,0,0,0,0,0,0,0,0
"140",2,"B1",2,0,20,60,30,45,2,3,613,614,0,0,0,0,0,0,0,0
"141",2,"B1",2,0,21,60,30,45,2,3,613,601,0,0,0,0,0,0,0,0
"142",2,"B1",2,0,22,60,30,55,2,3,676,669,0,0,0,0,0,0,0,0
"143",2,"B1",2,0,23,60,30,55,2,3,676,673,0,0,0,0,0,0,0,0
"144",2,"B1",2,0,24,60,30,60,2,3,673,681,0,0,0,0,0,0,0,0
"145",2,"B1",2,0,25,60,30,65,2,3,647,644,0,0,0,0,0,0,0,0
"146",2,"B1",2,0,26,60,30,60,2,3,673,678,0,0,0,0,0,0,0,0
"147",2,"B1",2,0,27,60,30,60,1,3,686,690,0,0,0,0,0,0,0,0
"148",2,"B1",2,0,28,60,28,60,1,3,701,702,0,0,0,0,0,0,0,0
"149",2,"B1",2,0,29,58,28,60,1,3,718,712,0,0,0,0,0,0,0,0
"150",2,"B1",2,0,30,58,28,60,1,3,718,717,0,0,0,0,0,0,0,0
"151",2,"B1",3,0,1,61,79,38,2,1,238,244,0,0,0,0,0,0,0,0
"152",2,"B1",3,0,2,61,67,38,2,1,244,244,0,0,0,0,0,0,0,0
"153",2,"B1",3,0,3,61,27,38,2,1,453,459,0,0,0,0,0,0,0,0
"154",2,"B1",3,0,4,61,27,27,2,1,440,444,0,0,0,0,0,0,0,0
"155",2,"B1",3,0,5,61,27,27,2,3,440,443,0,0,0,0,0,0,0,0
"156",2,"B1",3,0,6,81,27,27,2,3,324,325,0,0,0,0,0,0,0,0
"157",2,"B1",3,0,7,50,27,27,2,3,533,534,0,0,0,0,0,0,0,0
"158",2,"B1",3,0,8,50,27,27,2,4,533,529,0,0,0,0,0,0,0,0
"159",2,"B1",3,0,9,50,27,27,3,4,563,563,0,0,0,0,0,0,0,0
"160",2,"B1",3,0,10,50,27,27,4,4,492,490,0,0,0,0,0,0,0,0
"161",2,"B1",3,0,11,50,27,27,1,4,576,572,0,0,0,0,0,0,0,0
"162",2,"B1",3,0,12,50,27,27,1,2,576,576,0,0,0,0,0,0,0,0
"163",2,"B1",3,0,13,50,27,22,1,2,574,569,0,0,0,0,0,0,0,0
"164",2,"B1",3,0,14,50,22,27,1,2,600,599,0,0,0,0,0,0,0,0
"165",2,"B1",3,0,15,45,22,27,1,2,630,634,0,0,0,0,0,0,0,0
